,Date,Time,Volume,Density,Person_0,Person_1,Person_10,Person_11,Person_12,Person_13,Person_14,Person_15,Person_16,Person_17,Person_18,Person_19,Person_2,Person_3,Person_4,Person_5,Person_6,Person_7,Person_8,Person_9,Anomaly Probability,,
0,5/01/2015,6:00:00,480,7.616247678,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,145
1,5/01/2015,6:15:00,660,11.08520653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2,5/01/2015,6:30:00,624,10.51439409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3,5/01/2015,6:45:00,1104,20.71835713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
4,5/01/2015,7:00:00,1080,20.72309961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
5,5/01/2015,7:15:00,1068,27.51313253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
6,5/01/2015,7:30:00,1104,22.8077681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7,5/01/2015,7:45:00,1080,28.0127885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
8,5/01/2015,8:00:00,1104,31.663796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
9,5/01/2015,8:15:00,1020,28.3121623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
10,5/01/2015,8:30:00,1044,29.60498799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
11,5/01/2015,8:45:00,1152,34.29844494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
12,5/01/2015,9:00:00,960,26.020883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
13,5/01/2015,9:15:00,960,21.79667232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
14,5/01/2015,9:30:00,1020,35.11202831,0,1,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0.3,0,
15,5/01/2015,9:45:00,912,23.96495563,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,
16,5/01/2015,10:00:00,864,15.3702776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
17,5/01/2015,10:15:00,732,13.32516986,1,1,1,0,1,0,1,0,1,0,1,1,0,0,1,1,0,1,1,1,0.65,1,
18,5/01/2015,10:30:00,792,14.31035917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
19,5/01/2015,10:45:00,828,15.23493768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
20,5/01/2015,11:00:00,912,16.92929736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
21,5/01/2015,11:15:00,804,13.81868854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
22,5/01/2015,11:30:00,768,14.42982851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.05,0,
23,5/01/2015,11:45:00,936,17.01612905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
24,5/01/2015,12:00:00,804,14.07489481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
25,5/01/2015,12:15:00,888,16.08804394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
26,5/01/2015,12:30:00,876,15.48928015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
27,5/01/2015,12:45:00,840,14.64113981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
28,5/01/2015,13:00:00,900,16.42681508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
29,5/01/2015,13:15:00,972,18.53542141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
30,5/01/2015,13:30:00,792,14.17120407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.05,0,
31,5/01/2015,13:45:00,912,15.81844445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
32,5/01/2015,14:00:00,888,15.9434408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
33,5/01/2015,14:15:00,1032,18.00449254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
34,5/01/2015,14:30:00,984,17.75059213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
35,5/01/2015,14:45:00,1176,20.77189066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
